name,ra_deg,dec_deg,vmag,spectral,parallax_mas,pmra_mas,pmdec_mas
HIP 34440,107.0918432,15.93092642,5.47,G8III,10.68,-5.02,-103.52
HIP 34444,107.09785853,-26.39320776,1.83,F8Ia,1.82,-2.75,3.33
HIP 34462,107.15103117,37.44513204,6.19,K1III,4.69,-6.29,-14.94
HIP 34473,107.1764228,-70.49734046,5.68,F2,22.16,17.17,104.08
HIP 34481,107.18676883,-70.49919435,3.78,G8IIIvar,23.02,23.71,108.06
HIP 34495,107.21281817,-39.65567374,4.83,B3IV/V,4.34,-10.97,7.01
HIP 34536,107.33437727,-10.34657429,6.23,O6,0.56,-0.64,3.68
HIP 34561,107.3890235,-16.23450762,6.0,B1Ib/II,-0.09,-1.28,-0.58
HIP 34579,107.42928078,-25.23104384,5.69,B2V,1.78,-4.94,3.95
HIP 34608,107.52828376,21.24813537,6.43,G9V,21.67,-174.67,-473.14
HIP 34617,107.53898709,-18.68559657,6.23,F3V,20.08,11.68,-16.71
HIP 34622,107.55700787,-4.23763568,4.91,K0III,15.45,0.0,217.85
HIP 34624,107.5805277,-27.4915246,5.46,G8III,5.07,-9.4,1.87
HIP 34670,107.69791141,-48.93257706,5.12,K2III,10.43,-17.24,196.97
HIP 34693,107.78496505,30.24528065,4.41,K2III,10.81,-31.0,-48.4
HIP 34722,107.84616679,26.85666896,5.75,A4IV,8.36,-20.57,-33.5
HIP 34724,107.84846508,-0.30190562,5.44,F2V,12.49,-27.37,-9.12
HIP 34752,107.91371845,39.32054373,4.91,K4II-III,7.02,44.17,2.09
HIP 34758,107.92337859,-20.88311563,5.84,A0IV/V,6.67,-9.3,21.62
HIP 34768,107.96412663,5.65471549,6.07,A1V,4.17,-12.25,-5.19
HIP 34769,107.96608486,-0.49278056,4.15,A2V,8.7,-0.22,6.68
HIP 34780,108.00825571,-63.1900541,6.03,A0IV/V,5.45,-2.3,-1.98
HIP 34782,108.01716282,-30.82142072,6.1,A8III/IV,21.02,-43.6,23.11
HIP 34789,108.03126799,5.47436198,6.15,K0III,4.33,-20.41,-6.33
HIP 34798,108.0509095,-25.94260947,5.91,B2IV/V,4.54,-5.28,8.62
HIP 34802,108.06592133,-40.49877843,5.3,A3p...,7.51,-18.85,-12.36
HIP 34817,108.10762542,-36.54439953,5.94,B4V,3.61,-9.76,7.48
HIP 34819,108.10994955,24.12870291,5.85,F5IV,9.34,-15.74,-44.94
HIP 34834,108.14058722,-46.75956448,4.49,F0IV,47.22,-135.6,106.79
HIP 34860,108.20449197,27.22506034,6.46,F8V,22.65,13.25,-97.78
HIP 34888,108.27998092,-11.2513606,5.77,K0,4.93,-2.75,8.04
HIP 34899,108.30571289,-45.18252474,4.87,Ap,17.97,-24.84,-88.24
HIP 34909,108.34277923,16.15906775,5.07,K3V,4.66,14.66,-41.8
HIP 34912,108.34747243,51.42871249,5.46,M3III,4.22,8.19,13.44
HIP 34914,108.35003994,-22.67414589,5.99,K4III,4.18,24.69,-39.1
HIP 34922,108.38429537,-44.64052957,4.42,M5e,16.46,107.12,325.32
HIP 34924,108.40188094,-27.35637407,6.12,B2II,0.63,-3.22,5.79
HIP 34940,108.45161454,-22.90578603,6.34,B2IV,2.07,-3.57,3.19
HIP 34954,108.48891963,-30.33980156,6.32,B2III,2.25,-4.15,4.33
HIP 34956,108.4916328,71.81653915,6.36,K0,8.24,23.39,18.54
HIP 34975,108.54529505,-3.90175914,5.8,K5III,5.32,-34.21,-8.09
HIP 34981,108.56340179,-26.35251617,4.42,B3III,2.07,-6.58,3.89
HIP 34982,108.56467751,-9.94753938,5.9,K3III,1.39,-4.69,2.8
HIP 34987,108.58360689,3.11142128,5.36,K0III,4.35,-5.21,-3.01
HIP 34999,108.61773082,-10.31624854,6.02,B0III,1.34,-3.85,1.55
HIP 35005,108.63604311,12.11586588,5.71,G6III,9.85,-50.09,-17.02
HIP 35020,108.65893526,-48.27192832,4.75,B8/B9V,9.2,-4.18,0.63
HIP 35025,108.67476926,24.88520186,5.84,M1IIIvar,9.68,54.8,-89.5
HIP 35029,108.69177379,-46.84967225,5.72,A0p,7.67,-10.15,0.1
HIP 35037,108.70275679,-26.77268601,4.01,B2IV/Ve,3.53,-11.5,7.67
HIP 35044,108.7132841,-27.03792355,5.58,K3III,11.96,-40.79,-29.65
HIP 35054,108.73812657,-41.42641755,5.95,B4III/IV,5.91,3.39,9.56
HIP 35080,108.83088379,-0.16129299,6.42,G5III,6.15,-8.17,4.01
HIP 35083,108.83783435,-30.68647453,5.36,B2V,5.05,-13.01,11.43
HIP 35084,108.83861519,-52.49951781,5.96,K0V,8.39,-42.22,120.13
HIP 35120,108.91423401,7.97773709,5.78,M4III,5.4,23.64,2.2
HIP 35127,108.93009963,-10.58360286,5.95,K0,8.12,29.2,-1.01
HIP 35132,108.9471038,-23.74031161,6.34,A0V,3.58,-14.06,12.83
HIP 35136,108.95880519,47.24041621,5.54,G0V,59.31,29.44,-186.12
HIP 35146,108.97924939,59.63809569,5.2,K2III,16.88,-101.07,-258.69
HIP 35152,108.98823076,27.89742666,5.75,M1III,3.02,-14.07,-3.24
HIP 35180,109.06075146,-15.58565483,5.46,A1V,11.79,-44.29,-14.07
HIP 35181,109.06446675,-46.77461104,5.64,K4III,4.71,1.64,32.07
HIP 35202,109.13273708,-38.31894033,5.81,B4V,4.8,-7.91,4.93
HIP 35205,109.14583928,-27.88127313,4.66,M2III,7.2,-12.48,38.83
HIP 35210,109.153487,-23.31560155,4.83,K4III,0.52,-4.91,3.01
HIP 35213,109.15990595,-23.3110532,6.02,A5m...,12.66,-33.67,46.62
HIP 35226,109.20589876,-36.59264813,5.03,B3V,3.4,-10.39,6.21
HIP 35228,109.20762844,-67.95717248,3.97,F6II,4.94,-4.11,8.5
HIP 35241,109.2383968,-30.89694595,6.3,A9II,6.78,2.31,-27.21
HIP 35253,109.26401639,26.68980471,6.38,G7IV,11.0,57.22,-131.62
HIP 35264,109.28568399,-37.09748689,2.71,K3Ib,2.98,-10.57,7.0
HIP 35301,109.38198949,-6.6800262,6.29,K2,1.93,-25.31,12.09
HIP 35304,109.39050118,52.13111463,5.93,K1III:,5.35,-0.63,-17.8
HIP 35317,109.42770486,38.876336,6.48,K0,6.22,-4.58,-29.33
HIP 35326,109.45005353,-26.79755949,6.45,B5Vn,3.54,-0.73,1.56
HIP 35341,109.50927066,40.88336298,5.87,A5Vn,12.18,-15.04,12.15
HIP 35345,109.51705909,30.95592678,6.19,A0Vn,5.33,-4.9,-22.39
HIP 35347,109.51773775,-43.98677255,5.86,B8II/III,5.25,-9.82,-5.56
HIP 35350,109.52336162,16.54047526,3.58,A3V...,34.59,-46.09,-37.9
HIP 35363,109.57667037,-36.7339666,4.65,B2V+...,3.85,-11.29,1.85
HIP 35384,109.63324602,49.46474619,5.0,A4IIIn,10.97,-1.36,3.91
HIP 35393,109.63966607,-39.21030701,5.24,A0V,6.95,-9.95,9.01
HIP 35406,109.65913632,-36.74274935,5.11,A0V,3.9,-10.15,5.9
HIP 35412,109.66825335,-24.55870761,4.88,O7f,1.09,-2.84,2.68
HIP 35415,109.67703283,-24.95438447,4.37,O9Ib,1.02,-1.82,3.74
HIP 35427,109.71366298,-26.58587077,5.29,G2II,2.41,-7.77,6.7
HIP 35442,109.75800519,-19.28031128,6.06,F2Ia,-0.44,-2.47,3.06
HIP 35463,109.80706646,-33.727146,6.31,K2/K3III,4.44,-15.28,-8.44
HIP 35476,109.84321714,2.74071985,5.9,G9III,6.27,-2.18,-10.75
HIP 35487,109.86700585,-16.39491266,5.7,F2III/IV,22.71,165.37,-136.41
HIP 35509,109.94837319,7.14309133,5.91,F8V,16.86,61.2,-59.18
HIP 35548,110.02849829,15.14297247,6.45,A2Vn,2.98,2.59,-18.13
HIP 35550,110.0307889,21.98233941,3.5,F0IV...,55.45,-18.72,-7.76
HIP 35564,110.08940661,-52.3118825,5.5,F2,28.75,-35.17,147.45
HIP 35589,110.16172862,-52.08592527,5.38,B9V,6.61,-8.17,0.46
HIP 35611,110.22882941,-26.9638516,6.0,B3V,1.81,-4.97,5.63
HIP 35615,110.24288294,-14.36048847,5.59,G8/K0III,5.86,-10.5,-0.35
HIP 35623,110.26297004,42.65599942,6.33,K0,4.05,-17.59,-35.59
HIP 35626,110.26808505,-25.89167605,5.87,M3III,4.51,-11.92,13.44
HIP 35643,110.32308085,45.22817039,5.74,A7s,28.99,-49.53,12.12
HIP 35699,110.48708081,20.44371648,5.09,M0III,7.61,-62.05,-23.95
HIP 35707,110.50853709,-8.97941188,6.42,O9V,-0.81,9.39,14.23
HIP 35710,110.51120175,36.76063782,5.12,K0III,13.9,-98.6,-22.08
HIP 35712,110.51448965,0.17712559,5.99,B8III,0.61,1.92,-2.01
HIP 35725,110.5558717,38.99603466,6.4,K0,6.12,0.92,-37.35
HIP 35727,110.55637515,-19.01658444,4.94,B5II/III,6.31,-1.66,-6.43
HIP 35735,110.57161024,59.90195861,6.36,A8m,14.23,-1.72,15.4
HIP 35737,110.5774652,-2.97915985,6.23,F5,5.52,-0.72,-6.33
HIP 35749,110.60582057,-5.98280807,5.83,F3IV,3.59,-12.53,-8.44
HIP 35751,110.61790366,0.70095228,6.43,G5,14.51,38.32,-49.85
HIP 35785,110.71692703,55.28146955,5.8,B8V,6.96,-11.23,-32.04
HIP 35795,110.75292901,-31.92379021,5.4,B3V,2.28,-8.54,3.73
HIP 35842,110.86730662,22.94543651,6.17,A1V,10.46,-25.93,-35.94
HIP 35846,110.8689755,25.05060041,5.04,G8III,21.17,-66.59,-28.44
HIP 35848,110.87072892,-27.83428348,5.37,K4III,5.94,26.39,-4.14
HIP 35855,110.88291983,-32.20207858,5.41,B2/B3II/III,2.82,-7.85,4.55
HIP 35893,110.99309051,-35.83786094,6.32,B5V,4.68,-9.57,15.37
HIP 35904,111.02377104,-29.30311979,2.45,B5Ia,1.02,-3.76,6.66
HIP 35907,111.03529509,40.67244066,5.23,K0III,4.48,-3.35,-21.11
HIP 35920,111.07182051,-22.91276481,6.2,B8/B9V,5.0,-4.42,2.79
HIP 35933,111.11520374,15.51719894,6.47,B2Ve,0.67,-1.48,-1.52
HIP 35941,111.13935024,27.63781901,5.77,F0:III:,15.57,14.32,15.45
HIP 35946,111.1546398,-71.47075644,6.49,A3V,12.9,7.69,40.95
HIP 35951,111.16745993,-16.20142374,5.18,B2Vne,3.45,-4.65,-20.15
HIP 35957,111.18278416,-31.80892621,5.35,K1III,5.91,-21.37,8.73
HIP 35960,111.19735096,-37.29126075,6.14,A8V,4.7,-13.16,27.81
HIP 35975,111.21201745,-19.01228875,6.24,A2Ib/II,1.83,-3.04,3.83
HIP 35984,111.23782838,51.88734396,5.8,K5III,2.84,9.46,-35.14
HIP 35987,111.24245464,11.66955984,5.37,A5IV,10.28,-16.29,-14.91
HIP 35998,111.28515547,-13.75197556,5.79,F3V,28.72,-202.9,-0.91
HIP 36017,111.33323471,-21.98259839,6.04,A6II,1.03,-1.61,2.98
HIP 36019,111.34154368,81.25753345,6.3,A0III,3.92,-2.3,-31.84
HIP 36024,111.35530599,-25.2177645,5.79,B5III,1.01,-8.66,-0.89
HIP 36039,111.40911866,-79.09420265,5.54,K2/K3III,6.99,-29.88,5.95
HIP 36041,111.41207798,9.27611835,4.99,G8III,3.3,-2.95,-8.65
HIP 36045,111.42910652,-31.7387318,6.32,B2/B3III,3.3,-8.83,4.62
HIP 36046,111.43198371,27.79828561,3.78,G9III+...,25.9,-121.28,-84.43
HIP 36055,111.46334907,-5.77495377,5.98,CIb...,1.72,-6.02,-2.92
HIP 36114,111.59106537,-51.01849597,5.09,K0III,5.8,-5.5,6.09
HIP 36123,111.61586607,10.60806626,6.38,A2IV,10.33,-35.9,0.21
HIP 36141,111.67173733,11.00885807,6.39,B7II-III,2.58,-5.49,-10.39
HIP 36143,111.67696453,-34.14070792,5.9,B4V,3.35,-8.1,6.36
HIP 36145,111.67858726,49.21164489,4.61,A1V,13.11,-10.79,-48.57
HIP 36156,111.73470421,20.25758199,5.94,F2Vn,8.04,2.26,-10.36
HIP 36168,111.74786303,-23.08603328,5.65,B1II,2.3,-6.65,4.04
HIP 36186,111.78329832,-17.86486511,5.6,F2V,11.63,-3.27,1.56
HIP 36188,111.78780121,8.28940893,2.89,B8Vvar,19.16,-50.28,-38.45
HIP 36211,111.85767998,66.33164165,6.47,B9III,3.65,-3.27,-28.93
HIP 36236,111.92891065,-22.85919757,5.98,B5III,3.7,-1.28,-0.42
HIP 36238,111.93497685,21.44554856,5.2,F5IV-V...,29.38,-49.56,-123.9
HIP 36251,111.96526084,-11.55686168,5.79,B8Vv comp VB,3.23,-2.13,-2.31
HIP 36258,111.99653073,-29.1559018,5.55,B9Vsp...,4.84,-10.12,2.32
HIP 36264,112.00800583,-26.838996,6.26,K4III,4.91,11.75,9.03
HIP 36265,112.00865288,6.94207694,5.22,F0III,9.28,-3.38,-44.85
HIP 36284,112.04095607,8.92550376,4.33,K3III SB,8.2,-59.29,10.76
HIP 36325,112.16621622,27.55287954,6.36,K2III,10.16,17.01,24.23
HIP 36340,112.19690819,15.10985983,6.23,B9IV,4.24,-7.54,-15.35
HIP 36345,112.21316505,-31.84841156,5.95,B3V+...,5.6,-11.55,4.4
HIP 36346,112.21417299,-64.5097841,6.38,K5III,4.79,5.36,-8.4
HIP 36348,112.21452104,48.18403758,5.7,B9MNp...,7.95,-3.18,-44.36
HIP 36351,112.2194221,46.31477733,6.42,K0,9.67,-41.6,-65.7
HIP 36362,112.27050532,-31.45622952,5.78,B2IV,2.85,-10.44,5.47
HIP 36363,112.27379583,-38.8121049,5.41,B3V,5.86,-21.01,16.42
HIP 36366,112.27754045,31.78407932,4.16,F0V...,54.06,159.33,193.82
HIP 36377,112.3078263,-43.30189129,3.25,K5III SB,17.74,-59.86,188.73
HIP 36388,112.32781398,-1.90530704,5.6,K5III,2.0,-11.58,-9.0
HIP 36393,112.33526392,28.1184038,5.07,A4V,20.0,-33.3,-52.91
HIP 36395,112.34156903,-14.99809455,6.05,F5V,29.31,-187.77,-231.28
HIP 36396,112.34212843,-10.326657,5.75,K5III,3.52,-6.96,-2.73
HIP 36399,112.35670842,-7.55147431,5.86,F8V,35.95,50.78,125.93
HIP 36425,112.44909205,12.00661101,4.55,K2III,5.82,1.26,-19.26
HIP 36429,112.4532548,27.91619925,5.01,K2III,8.51,-23.96,-21.67
HIP 36431,112.4642256,-23.02429924,4.85,A6Ib/II,1.01,-2.65,4.94
HIP 36439,112.48273588,49.67266207,5.35,F6V,50.25,110.4,-82.01
HIP 36444,112.49893731,-52.65128759,5.87,K0III,9.87,-22.51,53.54
HIP 36496,112.62877606,-54.39943169,5.95,M1III,7.53,13.27,27.46
HIP 36514,112.67754202,-30.96228313,4.65,G2Ib...,1.86,-11.74,0.84
HIP 36526,112.71307331,-5.22648597,6.24,K0,0.39,-6.36,-3.18
HIP 36528,112.71958057,68.465727,5.63,K2III,7.2,-2.22,-43.68
HIP 36547,112.76866761,82.41156871,4.92,M4IIIa,6.89,-3.71,-42.31
HIP 36553,112.78664351,11.20301302,6.38,K0,4.58,-17.74,-14.15
HIP 36616,112.95154548,17.08622915,5.45,K2III,10.81,42.65,-75.39
HIP 36640,113.02423825,-8.88091851,5.9,F5V,33.4,-92.2,-167.52
HIP 36641,113.0247923,1.91448227,5.24,F0III,4.14,-2.12,-0.56
HIP 36657,113.09283885,-35.96119858,6.35,B8V,4.41,-13.83,4.24
HIP 36721,113.29074012,-24.71078019,5.84,A3III,10.66,-1.83,20.07
HIP 36723,113.2986465,3.29027472,5.59,F2V,23.44,-15.73,42.84
HIP 36728,113.30487698,-40.05853613,6.27,B8IV (p Si),4.85,-15.99,5.72
HIP 36732,113.33145749,-19.41235409,5.64,K0III,11.15,24.1,-70.23
HIP 36736,113.34244701,-14.33830668,6.21,B2II,2.16,-3.5,-0.1
HIP 36740,113.35345342,37.18788282,6.4,K0,6.16,-0.55,5.87
HIP 36760,113.4020791,15.82669239,5.27,A1Vn,8.69,-29.28,-12.62
HIP 36773,113.44986614,-14.52390109,4.82,A4Ia,0.97,-7.73,3.62
HIP 36778,113.46270622,-36.33840157,5.42,B2Vne,2.56,-8.59,4.11
HIP 36779,113.46469859,51.31420147,6.44,K0,3.73,-11.48,-22.56
HIP 36795,113.51335813,-22.29618077,4.44,F6V,38.91,-40.38,46.84
HIP 36796,113.52075734,10.56811357,6.28,A1V,7.76,-30.67,-15.31
HIP 36807,113.55360344,-33.46358395,6.11,A9IV,11.37,-55.92,63.25
HIP 36812,113.56622524,3.37173632,5.83,A0Vnn,4.82,-3.19,-4.53
HIP 36817,113.57780754,-23.47366319,5.06,F6V,34.41,-88.67,0.97
HIP 36848,113.64510631,-27.01244868,5.78,K1III,10.41,-46.86,71.46
HIP 36850,113.65001898,31.88863645,1.58,A2Vm,63.27,-206.33,-148.18
HIP 36856,113.66493572,-51.4745378,6.29,A1III/IV,2.45,-4.78,8.53
HIP 36896,113.78673794,30.9609101,5.34,K0III,10.78,-25.16,5.83
HIP 36914,113.84025431,-74.27500789,6.33,B9,3.4,-3.63,20.78
HIP 36917,113.8455718,-28.36927798,4.65,B8V,14.5,-66.9,-18.71
HIP 36942,113.91541745,-52.53380809,4.93,K3III,8.28,23.44,-11.57
HIP 36962,113.98071783,26.89600343,4.06,K5III,13.57,-39.58,-108.08
HIP 36965,113.98332747,43.03108733,6.37,F0,8.29,-26.13,-52.69
HIP 36977,114.006746,-55.88773325,6.39,K1/K2IIICN.,5.42,-14.56,10.37
HIP 36981,114.01623979,-14.49277322,5.66,B2/3V(n),1.97,-6.29,0.88
HIP 36986,114.030921,-22.16047711,6.4,K1II,4.72,-15.8,-11.47
HIP 37000,114.06945503,-8.31131007,6.27,K2,5.26,46.4,3.17
HIP 37023,114.13190951,46.18036783,5.66,M0III,6.29,-28.39,-32.92
HIP 37031,114.14487545,5.86210427,5.89,G0V,22.92,-108.76,27.66
HIP 37036,114.17099481,-19.70235325,5.69,B2II,1.92,-8.12,6.2
HIP 37043,114.18302388,-48.8301697,5.69,B9V,6.56,-7.55,0.87
HIP 37046,114.1960282,55.75515475,5.93,K2III,11.63,-10.87,-39.0
HIP 37088,114.31971063,-4.1110225,5.14,F6III,16.11,-67.41,17.74
HIP 37089,114.32055484,-23.77541233,6.34,F0Ib,0.08,-5.45,5.48
HIP 37091,114.32418974,40.02550216,6.34,M1,5.1,-15.06,-48.99
HIP 37096,114.34216663,-34.96857044,4.53,B8IV/V,9.1,-13.65,16.53
HIP 37128,114.43762447,-38.01057175,6.38,K4III,5.76,-12.05,60.26
HIP 37140,114.47449454,48.7739115,5.93,A5m,12.44,-32.62,-28.48
HIP 37165,114.55984487,24.36039278,6.37,F0,21.27,10.84,19.9
HIP 37173,114.57519746,-25.36478805,4.69,B8IV,5.92,-2.28,-6.7
HIP 37174,114.57588221,-48.60144811,5.68,F4Iab,0.65,-4.18,5.13
HIP 37202,114.63552537,-38.78140103,6.2,G8III,8.29,17.02,-35.32
HIP 37204,114.63681646,35.04848403,5.58,K0III,10.65,37.26,27.28
HIP 37223,114.68293452,-36.49684165,5.78,B3III,3.38,-6.84,4.84
HIP 37229,114.70783872,-26.8038924,3.8,B5IV,7.18,-17.0,23.08
HIP 37248,114.75139782,-53.2733797,6.06,B9IV-Vp...,5.99,-17.58,9.42
HIP 37265,114.79148501,34.58463287,4.89,F3III,20.62,-35.97,-118.03
HIP 37269,114.80003143,24.22252771,6.18,A2V,7.5,-2.26,0.18
Procyon (α CMi),114.82724194,5.22750767,0.4,F5IV-V,285.93,-716.57,-1034.58
HIP 37289,114.85081931,-16.84725474,6.4,K3III,4.89,0.13,-15.29
HIP 37297,114.86397492,-38.3080602,4.84,B3V,5.68,-21.35,16.03
HIP 37300,114.86912974,17.67451551,5.04,M0III,6.13,2.26,1.34
HIP 37322,114.93262285,-38.1393281,5.73,B5V,5.33,-22.54,16.9
HIP 37329,114.94951052,-38.26067563,5.76,B3III,2.92,-10.37,9.71
HIP 37339,114.97540702,32.00982411,6.16,F6II,11.86,-15.06,-39.74
HIP 37345,114.99163231,-37.57941274,5.99,B4III,2.41,-1.41,-3.89
HIP 37364,115.05638028,-19.66089028,5.92,K0III,4.53,-3.67,11.85
HIP 37369,115.06134304,38.34456671,5.77,M0III,4.0,-40.19,-11.53
HIP 37375,115.08758062,-11.75251794,6.43,K2,6.06,-8.32,-14.0
HIP 37379,115.09671685,-15.26385208,4.98,K3III,4.82,-2.27,-28.04
HIP 37391,115.12954787,87.02015634,5.05,M2III,6.53,-53.48,-26.85
HIP 37394,115.14796501,-8.18535824,6.01,A3IV,10.51,21.28,-29.37
HIP 37404,115.1966087,13.77126983,6.23,K0,3.15,-2.73,-7.88
HIP 37406,115.20649105,57.08287527,6.09,K5III,4.67,-24.11,-4.35
HIP 37428,115.24384521,23.01855829,5.93,K5,2.14,-7.21,-13.04
HIP 37441,115.30185616,48.13185153,5.58,K0III,10.01,-52.69,-130.99
HIP 37447,115.31198612,-9.55108315,3.94,K0III,22.61,-74.8,-19.64
HIP 37450,115.31595047,-38.53357185,5.41,B3V,5.28,-20.74,16.34
HIP 37461,115.34051593,-44.63217873,6.41,B7IV/V,2.86,-0.1,4.56
HIP 37465,115.34802203,-22.33675243,6.16,M0/M1III,3.79,3.95,12.85
HIP 37478,115.39648613,3.6248275,5.95,A0V,6.47,-2.2,-20.11
HIP 37504,115.45498347,-72.60613528,3.93,K0III,24.36,33.38,15.29
HIP 37508,115.46611813,13.48051383,5.79,M2III,4.15,-35.61,-24.95
HIP 37521,115.51341314,14.20852972,5.55,M3Sv,3.19,-0.98,-10.81
HIP 37530,115.54259877,-58.63093533,6.4,B2.5V,3.05,-5.4,7.03
HIP 37580,115.68169569,34.00022479,6.05,F7V,18.31,-83.5,-2.81
HIP 37590,115.70064325,-26.35125398,5.64,K1III,9.79,-2.51,-29.55
HIP 37599,115.72235259,-58.23015202,6.2,K0III,5.18,-31.96,38.73
HIP 37606,115.73817103,-45.17177284,5.04,G5IV,41.43,-77.76,-553.41
HIP 37609,115.751907,58.71048707,4.93,A3IVn,13.75,-36.99,-52.11
HIP 37614,115.7725736,0.18936449,6.17,K0III,7.2,0.94,-12.89
HIP 37623,115.7999923,-36.050124,5.6,B5V,5.45,-21.14,14.17
HIP 37629,115.82785545,28.8840717,4.23,K1III SB,26.68,61.84,-231.26
HIP 37636,115.84247968,22.39943231,6.25,K0III,10.63,-22.55,16.32
HIP 37648,115.88498187,-28.41095714,4.63,K5III,3.34,-13.62,29.79
HIP 37664,115.92428224,-40.93332961,5.12,K1III,15.13,131.14,-171.23
HIP 37666,115.92888042,-38.20191748,6.42,B8IV,5.62,-21.41,15.59
HIP 37677,115.95196716,-28.9548352,3.94,A2Iab,-0.37,-4.57,3.88
HIP 37701,116.01744892,50.43386115,5.31,A0IIIn,4.73,-9.29,-27.78
HIP 37704,116.02884762,25.78421056,5.3,K5III,5.48,-13.4,-21.21
HIP 37705,116.03185066,2.40544316,6.46,F0III,7.53,-18.14,-8.6
HIP 37710,116.04059732,-36.06271326,5.8,F0IV,22.99,-79.39,85.83
HIP 37720,116.05456897,-69.82161624,6.16,A0IV/V,8.09,-46.7,9.56
HIP 37723,116.05860871,12.86011602,6.4,K0,3.72,-14.56,-18.44
Castor (α Gem),116.11195237,24.39812929,3.57,G8III,22.73,-22.45,-56.24
HIP 37751,116.14238612,-24.67409186,5.62,B2II,1.75,-4.27,5.23
HIP 37752,116.14249707,-37.94295545,5.89,B8V,5.36,-22.23,15.72
HIP 37773,116.18282329,-66.07204846,6.37,G6/G8III,5.03,-15.97,47.43
HIP 37819,116.31376631,-37.96859848,3.62,K4III,2.35,-10.77,5.97
HIP 37823,116.32521067,-43.75255904,6.02,B6IV,3.68,-9.37,-2.77
Pollux (β Gem),116.33068263,28.02631031,1.16,K0IIIvar,96.74,-625.69,-45.95
HIP 37843,116.37142428,-14.69048507,6.06,A6/A7,9.09,-15.08,-21.41
HIP 37853,116.39657467,-34.17655092,5.36,G0V,65.79,-220.83,1722.89
HIP 37854,116.39800467,-56.7225967,6.1,F0II,3.46,-3.99,10.95
HIP 37891,116.48698643,-14.56382026,5.03,F2V,13.8,-11.17,6.28
HIP 37901,116.50900614,-6.77228458,5.49,K5III,13.68,48.91,-93.07
HIP 37908,116.53122379,18.51016877,4.89,K5III,9.55,-75.55,-51.53
HIP 37915,116.54399474,-37.93370008,5.87,B5V,5.16,-19.53,12.37
HIP 37921,116.56757952,10.76831128,5.25,A1Vnn,10.44,-30.87,-24.45
HIP 37939,116.63937426,-37.77249301,6.31,K3III,5.46,-50.16,-31.5
HIP 37946,116.66358038,37.51736326,5.15,M3III,9.99,30.18,12.7
HIP 37949,116.66682971,65.45563092,5.93,K2III:,9.82,28.15,18.39
HIP 37951,116.68633286,-12.67531262,6.39,B9III,3.39,-10.32,-0.08
HIP 37982,116.77405856,-39.33103329,6.33,Ap Si,4.76,-22.17,15.5
HIP 37995,116.80232686,-22.51953536,5.9,B1/B2V,3.3,-7.61,10.34
HIP 37996,116.81091375,-36.07366604,6.46,K1III,7.61,-34.73,27.05
HIP 38010,116.85416576,-38.51115599,5.07,B2IV/V,2.63,-9.94,4.69
HIP 38016,116.8764029,33.41576665,5.14,M0III,5.8,-18.81,-28.63
HIP 38020,116.88129103,-46.60850937,5.22,B1V,1.95,-3.57,7.95
HIP 38031,116.91053163,-15.99069738,6.31,K3Iab/b,1.43,-1.61,3.64
HIP 38037,116.93838574,-16.01448125,6.38,K5II/III,1.36,-7.78,-0.76
HIP 38048,116.98659214,-12.19289276,5.48,F5+...,33.06,-104.67,77.39
HIP 38070,117.02156206,-25.93718054,4.4,B1IV:nne,1.32,-10.22,4.92
HIP 38074,117.03562523,-40.65231342,6.14,M2III,5.43,-3.35,-26.58
HIP 38087,117.08127238,-56.47109287,6.3,K0III+...,1.44,-4.63,7.26
HIP 38089,117.08436527,-47.07753199,4.69,K0III,14.36,-101.31,-78.38
HIP 38106,117.14019136,23.14098449,6.18,G2III+...,3.1,-10.88,-2.04
HIP 38146,117.2570691,-24.91224336,5.32,G2,10.16,-34.68,14.71
HIP 38147,117.25755784,13.37188806,6.07,K0,4.94,38.53,-7.86
HIP 38152,117.2780096,-56.41038485,5.57,G5II,3.49,-6.58,10.2
HIP 38159,117.30361005,-46.85774089,5.82,B1.5IV,1.7,-3.32,9.67
HIP 38160,117.30394188,-60.28402896,5.78,F1V,28.62,-37.41,140.08
HIP 38164,117.30957923,-46.37322729,4.1,B0III,1.66,-4.62,9.04
HIP 38167,117.31105571,-35.24330796,5.94,B9V,6.82,-6.14,8.88
HIP 38170,117.32357809,-24.85978401,3.34,G6Ia,2.42,-5.56,-0.71
HIP 38183,117.36797937,-44.75122662,6.32,K0III,9.9,-41.68,28.68
HIP 38184,117.37003744,-13.35292144,6.23,B8/B9II,1.74,-2.38,-10.94
HIP 38196,117.38465527,12.8142954,6.42,K0,6.38,-6.84,-18.53
HIP 38200,117.39761883,-33.28895425,5.61,M0III,4.72,-37.43,1.79
HIP 38206,117.41657954,-14.08535729,6.34,K5III,3.47,-5.81,-0.9
HIP 38209,117.4199956,-19.50548358,6.49,K2III,7.82,-59.12,-14.15
HIP 38210,117.42081658,-66.19597303,5.78,B9V,7.12,-1.81,-0.58
HIP 38211,117.42153403,-17.228123,5.17,K3III,12.87,54.17,-117.17
HIP 38246,117.52364147,-19.52356224,6.11,K1III,1.74,-7.6,5.81
HIP 38253,117.54406881,-9.1834416,5.6,K3III,2.32,0.02,0.1
HIP 38267,117.59951934,-50.5093647,5.89,K2III,12.59,-66.6,-42.5
HIP 38292,117.67715212,-44.57997832,6.45,G6III,5.81,-9.9,13.61
