name,ra_deg,dec_deg,vmag,spectral,parallax_mas,pmra_mas,pmdec_mas
HIP 1123,3.50952703,33.20608481,6.22,A1V,11.13,-7.7,-18.77
HIP 1158,3.61496786,-7.78053784,5.13,M3IIIvar,5.21,61.01,2.36
HIP 1168,3.65045047,20.2066972,4.79,M2III,10.01,90.66,1.88
HIP 1170,3.66013628,-18.93268628,4.44,M1III,6.62,-27.15,-73.78
HIP 1191,3.72708897,-9.56955053,5.77,B9V,9.4,22.64,-8.45
HIP 1193,3.73279426,22.28425185,6.25,A1p,9.18,45.06,-11.0
HIP 1195,3.74253202,-34.90419374,6.17,K3III,4.41,76.54,-11.99
HIP 1196,3.7449237,8.8210228,6.02,F0IV,12.47,97.67,-24.96
HIP 1208,3.77886512,31.53573771,6.34,K5,2.47,33.23,-5.37
HIP 1215,3.79397762,27.28347715,6.35,A1Vn,7.92,14.69,-15.37
HIP 1269,3.97863172,61.00019736,6.43,G8III...,5.76,-20.94,-10.28
HIP 1268,3.97890167,-75.91160944,6.49,G8/K0III,4.63,-17.82,-2.41
HIP 1288,4.0366068,-31.44632821,5.66,K2III,7.64,117.87,-27.11
HIP 1296,4.05785281,76.95076267,6.35,B9Vn,5.28,19.77,-3.13
HIP 1302,4.08958566,43.59510616,6.12,A2V,10.75,35.61,-23.43
HIP 1319,4.14190528,8.24018997,6.12,G8II-III,7.38,-28.01,-14.69
HIP 1354,4.23771177,61.53319397,5.74,G8III,5.08,-6.0,-3.46
HIP 1366,4.27306518,38.68167915,4.61,A2V,12.88,-50.01,-17.9
HIP 1372,4.28766746,47.94741495,5.86,B7III,3.42,4.05,-3.97
HIP 1402,4.38621007,-19.05108585,6.46,F3V,20.47,20.45,-2.36
HIP 1415,4.42944015,51.43309422,6.11,O9IIInn,0.57,-4.19,-1.62
HIP 1421,4.4485222,1.68870485,6.19,K0II,9.89,90.04,9.15
HIP 1465,4.57193855,11.20628336,6.07,K0III,7.28,-32.75,-28.6
HIP 1473,4.58210555,36.7853273,4.51,A2V,23.11,-66.51,-42.48
HIP 1493,4.65924059,31.51723388,5.88,A0IV,6.0,58.09,-2.91
HIP 1499,4.67342336,-8.05265094,6.47,G0V,42.67,417.66,-144.2
HIP 1501,4.67562512,43.79114781,6.1,B8V,4.71,23.31,-2.72
HIP 1502,4.67717473,-43.2355705,6.33,K2III,8.56,50.23,-0.06
HIP 1562,4.85701265,-8.82382948,3.56,K2III,11.26,-14.37,-37.84
HIP 1575,4.92324681,40.72950687,6.35,K1III,6.03,-25.3,-19.0
HIP 1599,5.00797581,-64.8776232,4.23,F9V,116.38,1707.56,1165.36
HIP 1630,5.10163324,30.93561514,5.89,B7V,5.6,15.27,-0.64
HIP 1639,5.12884068,48.96864118,6.46,G0,3.43,8.08,-3.43
HIP 1645,5.14943435,8.19024803,5.38,K3III,8.26,-4.5,9.59
HIP 1647,5.16267858,-69.62491154,5.5,B9V,10.65,-4.01,-0.64
HIP 1657,5.18974442,32.91122853,5.79,K5III,5.05,-29.44,-17.29
HIP 1686,5.28010785,37.96869954,5.16,F5III,20.42,58.32,-39.65
HIP 1706,5.3697616,-77.42685699,5.96,K3III,4.68,14.23,-6.44
HIP 1708,5.37990144,-28.98129509,5.18,K0III,10.5,32.77,-71.48
HIP 1728,5.44264511,-20.05799253,5.61,M5/M6Ib/II,4.21,62.63,-12.77
HIP 1772,5.6060221,13.48243411,6.25,K3III,5.98,63.78,22.35
HIP 1803,5.71480399,-12.20958506,6.39,G3V,49.05,394.27,60.45
HIP 1821,5.76813086,-15.94261714,6.43,M0III,3.23,76.78,25.04
HIP 1921,6.06518443,52.01992467,5.58,B5IV,2.38,13.7,-4.4
HIP 1939,6.12362201,-2.2189614,6.08,K1III,6.03,-34.51,-42.42
HIP 1948,6.15894159,14.31552048,6.48,K0,6.09,15.07,-2.6
HIP 1960,6.19786908,61.83106347,5.38,B9III,4.27,13.67,-2.45
HIP 1982,6.276607,53.04678501,5.72,B9IV,6.17,25.8,0.3
HIP 2006,6.35090309,1.93972374,5.77,G5III,5.5,-14.33,-12.89
HIP 2021,6.41334183,-77.25503511,2.82,G2IV,133.78,2220.12,324.37
HIP 2072,6.55048418,-43.67990933,3.93,A7V,42.51,106.14,32.83
HIP 2081,6.57028075,-42.30512197,2.4,K0III...,42.14,232.76,-353.64
HIP 2086,6.59057887,-18.69360316,6.24,M1III,4.3,21.65,-12.07
HIP 2100,6.65572204,-0.04953631,6.16,G8III,6.71,69.63,1.49
HIP 2159,6.81119663,-25.54713325,5.99,K0III,4.86,32.93,-15.26
HIP 2178,6.87922939,16.02545897,6.44,A5,7.7,89.8,9.88
HIP 2210,6.98213606,-33.0070446,4.86,M2/M3III,5.95,-20.48,-50.39
HIP 2213,6.99366564,19.51408099,6.4,K0,6.12,-22.3,-17.33
HIP 2219,7.01185234,17.89307501,5.01,M3IIIvar,6.65,114.91,20.48
HIP 2224,7.05288647,16.44510093,6.05,K5III,2.93,18.37,-14.57
HIP 2225,7.05660466,44.39448925,5.18,A2Vs,12.32,84.1,-15.33
HIP 2235,7.08346734,10.1903414,6.05,F6Vawvar,27.51,32.79,-203.14
HIP 2237,7.0882067,-20.33477667,6.44,G3V,31.01,-118.11,-112.69
HIP 2240,7.11007309,-39.91490183,5.42,M0III,7.86,135.95,-41.36
HIP 2256,7.1790872,-50.53284634,6.26,K0III,8.58,159.44,-5.33
HIP 2270,7.2361047,36.89970105,6.28,G5III,7.03,-4.42,-2.76
HIP 2337,7.46586901,-14.86402653,6.15,F2/F3V,23.62,147.08,-33.98
HIP 2353,7.50980355,-3.95729662,5.72,M0III,3.82,8.61,-14.51
HIP 2355,7.53056566,29.75169567,5.2,A7III,17.62,43.56,-57.18
HIP 2377,7.58297373,59.977564,5.94,B9IIIn,4.54,16.26,-3.94
HIP 2381,7.59446346,-23.78771429,5.17,A3V,18.08,-26.95,13.97
HIP 2383,7.60822774,-48.21469821,5.67,F2V,22.19,163.44,-87.3
HIP 2388,7.61594916,-40.93962515,6.18,F2III,7.77,-3.25,16.16
HIP 2422,7.72581643,77.01948785,6.18,K0IV,25.37,340.4,-34.36
HIP 2472,7.85356695,-48.80356171,4.76,A0V,18.97,140.74,19.47
HIP 2474,7.85500767,66.51962673,6.18,B6V,4.55,19.38,-3.87
HIP 2475,7.85668759,33.58168169,5.88,K1III...,6.98,49.61,-16.26
